date,lat,long,district
2022-11-13,30.853932940445265,75.40927916101714,Ludhiana
2022-11-13,30.7881701221363,75.36747202566728,Moga
2022-11-13,30.7881701221363,75.38710063272535,Moga
2022-11-13,30.8994610454284,75.4745938659756,Ludhiana
2022-11-13,30.30422322842672,75.01226358026342,Bathinda
2022-11-13,31.129578214943827,75.6715234931653,Jalandhar
2022-11-13,30.26624446602999,74.99406748183857,Bathinda
2022-11-13,30.82863954878797,75.4384968305047,Ludhiana
2022-11-13,30.36324114229374,75.07703217522422,Bathinda
2022-11-13,30.96691008984785,75.57702092090786,Ludhiana
2022-11-13,30.54535356222626,75.24096594787612,Moga
2022-11-13,30.837070679340407,75.48440038864634,Ludhiana
2022-11-13,30.575705632215023,75.28017315971951,Moga
2022-11-13,30.654136764636103,75.36334208152888,Moga
2022-11-13,30.501511683353623,75.25008375566662,Bathinda
2022-11-13,30.64652712885545,75.37248775541657,Ludhiana
2022-11-13,30.504884135574603,75.27226435123535,Bathinda
2022-11-13,30.32445794175256,75.14301122191323,Bathinda
2022-11-13,30.31671379220811,75.15443475172003,Bathinda
2022-11-13,30.87079520155013,75.58756509780996,Ludhiana
2022-11-13,30.70385881661198,75.43292698722951,Ludhiana
2022-11-13,30.53630119047524,75.31174740158822,Moga
2022-11-13,30.1963047573556,75.05477239661796,Bathinda
2022-11-13,30.91295085431229,75.62084595846007,Ludhiana
2022-11-13,30.724093529937814,75.47229381329183,Ludhiana
2022-11-13,30.87079520155013,75.60721060566296,Ludhiana
2022-11-13,30.774680313252407,75.53157273970115,Ludhiana
2022-11-13,30.73145160751085,75.49624563983932,Ludhiana
2022-11-13,30.63512141965868,75.43263198314435,Ludhiana
2022-11-13,30.56699765856983,75.37098261543034,Moga
2022-11-13,30.421806654033556,75.28273658894265,Bathinda
2022-11-13,30.84550180989283,75.62655124815691,Ludhiana
2022-11-13,30.762876730479004,75.57136757614019,Ludhiana
2022-11-13,30.41214169949785,75.2984106472321,Bathinda
2022-11-13,30.321085489531587,75.22832901670309,Bathinda
2022-11-13,30.56944250666179,75.44541478451926,Barnala
2022-11-13,30.55378469277869,75.43547893178376,Barnala
2022-11-13,30.39527943839299,75.3225518360513,Barnala
2022-11-13,30.79491502657824,75.64561617840697,Ludhiana
2022-11-13,30.42394528227125,75.35640613145885,Barnala
2022-11-13,30.245205314559705,75.21897031378414,Bathinda
2022-11-13,29.995643850207724,75.03692193973045,Bathinda
2022-11-13,30.511629040016537,75.43798073491759,Barnala
2022-11-13,30.471159613364865,75.40661153088683,Barnala
2022-11-13,30.362450723804454,75.33176207619005,Barnala
2022-11-13,30.33794775063645,75.31161876409475,Bathinda
2022-11-13,30.759762529103774,75.66525135315001,Ludhiana
2022-11-13,30.811777287683107,75.70601053972186,Ludhiana
2022-11-13,30.245205314559705,75.27557619618563,Bathinda
2022-11-13,30.57064695388356,75.53671984868804,Ludhiana
2022-11-13,30.43743509115514,75.43332479136923,Barnala
2022-11-13,30.380103403398603,75.3890380563551,Barnala
2022-11-13,30.62123373719815,75.58596253755567,Ludhiana
2022-11-13,30.57064695388356,75.55630429495207,Barnala
2022-11-13,30.53692243167384,75.53005614499345,Barnala
2022-11-13,30.511629040016537,75.51627092491754,Barnala
2022-11-13,30.663389389960308,75.6679225019462,Ludhiana
2022-11-13,30.442223140604664,75.50198303270486,Barnala
2022-11-13,30.63303731997156,75.66377177838181,Ludhiana
2022-11-13,30.29579209787429,75.39249444847093,Barnala
2022-11-13,30.73022094312804,75.75194768227824,Ludhiana
2022-11-13,30.162580235145874,75.319679149413,Bathinda
2022-11-13,30.36324114229374,75.48156784299722,Barnala
2022-11-13,30.629664867750584,75.69836780521734,Ludhiana
2022-11-13,30.329516620084014,75.45751559675341,Barnala
2022-11-13,30.712289947164415,75.80236333379717,Ludhiana
2022-11-13,30.416076227088983,75.59018400788253,Barnala
2022-11-13,30.22834305345484,75.42659821260314,Barnala
2022-11-13,30.82020841823554,75.90704395320601,Ludhiana
2022-11-13,30.40371056894542,75.59103660664503,Barnala
2022-11-13,30.36998604673569,75.60794793343001,Barnala
2022-11-13,30.562215823331133,75.78277275024153,Sangrur
2022-11-13,30.36998604673569,75.63335530747048,Barnala
2022-11-13,30.29649469208699,75.58230772768415,Barnala
2022-11-13,30.086700060173985,75.42551926900305,Mansa
2022-11-13,30.970282542068823,76.13427038685751,Ludhiana
2022-11-13,30.6161750588667,75.85436471213418,Sangrur
2022-11-13,30.38333533677704,75.67675165764753,Sangrur
2022-11-13,30.816965675715377,76.02636599968892,Ludhiana
